GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
manageAssesment,com.example.manageAssesment.model,Patient,303,98,65,11,6,17,43,20,9,16
manageAssesment,com.example.manageAssesment.model,RiskLevel,0,70,0,0,0,10,0,3,0,3
manageAssesment,com.example.manageAssesment.model,Note,185,25,38,0,3,4,26,7,7,7
manageAssesment,com.example.manageAssesment.model,MedicalTerms,0,153,0,2,0,19,0,5,0,4
manageAssesment,com.example.manageAssesment.model,Gender,3,34,0,0,1,3,1,2,1,2
manageAssesment,com.example.manageAssesment.service,AssessServiceImpl,15,163,11,45,1,32,8,26,0,6
manageAssesment,com.example.manageAssesment.service,ConfDockerService,20,4,4,0,3,1,4,1,2,1
manageAssesment,com.example.manageAssesment.controller,AssessController,6,83,1,1,2,22,1,3,0,3
manageAssesment,com.example.manageAssesment,ManageAssesmentApplication,5,3,0,0,2,1,1,1,1,1
manageAssesment,com.example.manageAssesment.utils,DateUtils,3,27,0,0,1,6,1,1,1,1
